Unnamed: 0,Date,Day of Week,Client Name,Client Name.1, & Agency,Package,Package Type,Mix,Clients,Type,Type.1,Overwrite Check,Overwrite Check.1,AM Activity,AM Time,AM Guide,Comments,Unnamed: 18,PM Activity,PM Time,PM Guide,Comments.1,Unnamed: 23,SG,AM,AM.1,PM,PM.1,SG.1,Prv,Prv.1,drifts,Unnamed: 33,Ability, Confirm 24 hrs ,Signed,email sent,BOAT,NOTES/REQUESTS
,4-Jul-25,Friday,46241596 - Arik Phil,46241596 - Arik Phil 4-Jul-25,609231,BCE/BAR,Nightly,2A,2,Other,Arrival,No Activity - Nightly,No Activity - Nightly,No Activity - Nightly,-,No Guide,,,Self-Drive - Arrival,-,No Guide,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Easy,False,False,False,,
,4-Jul-25,Friday,43454309 - Kendal Bram,43454309 - Kendal Bram 4-Jul-25,609231,BCE/BAR,Nightly,2A,2,Other,Arrival,No Activity - Nightly,No Activity - Nightly,No Activity - Nightly,-,No Guide,,,Self-Drive - Arrival,-,No Guide,,,,,,,,,,,,,Easy,False,False,False,,
,4-Jul-25,Friday,49886721 - Garett Lennon,49886721 - Garett Lennon 4-Jul-25,,BCE 5NSP,Small Group,2A,2,Arrival,Other,Airport Pick-Up,Airport Pick-Up,Airport Pick-Up,11:07:00 AM,Smith,,,No Activity,,No Guide,,,,,,,,,,,,,Difficult,False,False,True,,
,4-Jul-25,Friday,45575327 - Timmy Leslie,45575327 - Timmy Leslie 4-Jul-25,616236,BCE/BAR,Nightly,2A,2,Other,Arrival,No Activity - Nightly,No Activity - Nightly,No Activity - Nightly,-,No Guide,,,Self-Drive - Arrival,-,No Guide,,,,,,,,,,,,,TBD,False,False,False,,
,4-Jul-25,Friday,43691745 - Nickole Tawny,43691745 - Nickole Tawny 4-Jul-25,,BCE 3NSP,Small Group,1A,1,Other,Arrival,Self-Drive - Arrival,Self-Drive - Arrival,No Activity - Nightly,-,No Guide,,,Self-Drive - Arrival,-,No Guide,,,,,,,,,,,,,Moderate,False,False,False,,
,4-Jul-25,Friday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4-Jul-25,Friday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4-Jul-25,Friday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4-Jul-25,Friday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4-Jul-25,Friday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4-Jul-25,Friday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4-Jul-25,Friday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
